Lon,Lat
143.985,-39.675
143.995,-39.675
144.005,-39.675
144.015,-39.675
144.025,-39.675
144.035,-39.675
144.045,-39.675
144.055,-39.675
144.065,-39.675
144.075,-39.675
144.085,-39.675
144.095,-39.675
144.105,-39.675
143.905,-39.685
143.915,-39.685
143.925,-39.685
143.935,-39.685
143.945,-39.685
143.955,-39.685
143.965,-39.685
143.975,-39.685
143.985,-39.685
143.995,-39.685
144.005,-39.685
144.015,-39.685
144.025,-39.685
144.035,-39.685
144.045,-39.685
144.055,-39.685
144.065,-39.685
144.075,-39.685
144.085,-39.685
144.095,-39.685
144.105,-39.685
147.895,-39.685
143.895,-39.695
143.905,-39.695
143.915,-39.695
143.925,-39.695
143.935,-39.695
143.945,-39.695
143.955,-39.695
143.965,-39.695
143.975,-39.695
143.985,-39.695
143.995,-39.695
144.005,-39.695
144.015,-39.695
144.025,-39.695
144.035,-39.695
144.045,-39.695
144.055,-39.695
144.065,-39.695
144.075,-39.695
144.085,-39.695
144.095,-39.695
144.105,-39.695
147.895,-39.695
147.905,-39.695
147.915,-39.695
147.925,-39.695
147.935,-39.695
147.945,-39.695
143.865,-39.705
143.875,-39.705
143.885,-39.705
143.895,-39.705
143.905,-39.705
143.915,-39.705
143.925,-39.705
143.935,-39.705
143.945,-39.705
143.955,-39.705
143.965,-39.705
143.975,-39.705
143.985,-39.705
143.995,-39.705
144.005,-39.705
144.015,-39.705
144.025,-39.705
144.045,-39.705
144.055,-39.705
144.065,-39.705
144.075,-39.705
144.085,-39.705
144.095,-39.705
144.105,-39.705
147.895,-39.705
147.905,-39.705
147.915,-39.705
147.925,-39.705
143.845,-39.715
143.855,-39.715
143.865,-39.715
143.875,-39.715
143.885,-39.715
143.895,-39.715
143.905,-39.715
143.915,-39.715
143.925,-39.715
143.935,-39.715
143.945,-39.715
143.955,-39.715
143.965,-39.715
143.975,-39.715
143.985,-39.715
143.995,-39.715
144.005,-39.715
144.015,-39.715
144.025,-39.715
144.035,-39.715
144.045,-39.715
144.055,-39.715
144.065,-39.715
144.075,-39.715
144.085,-39.715
144.095,-39.715
144.105,-39.715
143.845,-39.725
143.855,-39.725
143.865,-39.725
143.875,-39.725
